"","lon","lat"
"983",-74.0059413,40.7127837
"984",NA,NA
"985",NA,NA
"986",NA,NA
"987",NA,NA
"988",-118.2436849,34.0522342
"989",-122.1810006,47.3649207
"990",NA,NA
"991",-73.7823549,40.9114882
"992",-1.023194,7.946527
"993",-81.378447,40.7989473
"994",-74.0059413,40.7127837
"995",NA,NA
"996",-99.9018131,31.9685988
"997",-84.3879824,33.7489954
"998",NA,NA
"999",NA,NA
"1000",-60.0217314,-3.1190275
